branchs,forks,stars,tags,url
1,5,7,0,https://github.com/jnewland/gsa-feeds
1,4,13,0,https://github.com/jnewland/lazy_record
1,5,10,0,https://github.com/jnewland/xhtmlize
1,7,25,0,https://github.com/technoweenie/duplikate
1,26,89,0,https://github.com/defunkt/mofo
1,26,4,0,https://github.com/uggedal/mofo
1,6,10,0,https://github.com/jnewland/votigoto
18,510,1662,31,https://github.com/ruby-git/ruby-git
1,4,6,0,https://github.com/benburkert/schemr
1,17,37,0,https://github.com/abhay/gchart
1,6,9,0,https://github.com/ezmobius/bmhsearch
1,52,135,13,https://github.com/abhay/calais
3,466,3149,22,https://github.com/mojombo/chronic
1,8,40,0,https://github.com/mmower/simply_versioned
1,20,135,0,https://github.com/danwrong/low-pro-for-jquery
3,166,897,0,https://github.com/drnic/ruby-on-rails-tmbundle
1,14,71,0,https://github.com/queso/signal-wiki
1,238,531,0,https://github.com/sr/git-wiki
1,10,42,0,https://github.com/mojombo/yaws
1,4,9,0,https://github.com/sr/dst
2,61,6,0,https://github.com/wayneeseguin/merb-core
3,166,5,0,https://github.com/mattetti/ruby-on-rails-tmbundle
1,3,7,0,https://github.com/sr/tasks
1,4,6,0,https://github.com/wayneeseguin/merbtastic
2,114,437,59,https://github.com/grempe/amazon-ec2
1,10,10,0,https://github.com/KirinDave/yaws
1,4,6,0,https://github.com/wayneeseguin/rnginx
1,5,18,0,https://github.com/wayneeseguin/merblogger
1,3,7,0,https://github.com/wayneeseguin/autozest
1,3,13,0,https://github.com/peterc/switchpipe
1,4,12,0,https://github.com/wayneeseguin/sequel
1,4,13,0,https://github.com/wayneeseguin/alogr
1,8,7,0,https://github.com/bmizerany/simply_versioned
3,76,207,12,https://github.com/wycats/merb-plugins
1,5,7,0,https://github.com/hornbeck/arc
3,10,32,1,https://github.com/up_the_irons/ebay4r
1,5,8,1,https://github.com/atmos/fitter_happier
1,6,9,0,https://github.com/defunkt/ambitious_activeldap
1,2,8,0,https://github.com/up_the_irons/ram
